C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.027701,1.6905,0.64967,1.0106,0.16877,0.017428,1.6902,0.64972,1.0183,0.21073,0.068067,1.6964,0.64867,1.1057,0.19599,0.085563,1.6899,0.64975,1.0114,0.16071,0.03578,1.6888,0.64996,1.0288,0.176,2
0.031597,1.7009,0.64792,1.0253,0.17303,0.012604,1.7001,0.64806,1.0566,0.17837,0.027224,1.7009,0.64792,1.0949,0.22346,0.074613,1.6924,0.64934,1.0578,0.14355,0.023814,1.6923,0.64936,1.0862,0.17967,2
0.040732,1.7016,0.64781,1.0456,0.17326,0.046684,1.7067,0.64696,0.99832,0.12834,0.034069,1.6946,0.64898,1.0231,0.20584,0.079504,1.6901,0.64972,1.1002,0.19832,0.046599,1.7061,0.64705,1.0839,0.16703,2
0.04153,1.7105,0.64631,1.1129,0.21481,0.01315,1.6892,0.64988,1.0356,0.16552,0.032789,1.6912,0.64956,1.0035,0.18607,0.078654,1.6905,0.64966,1.0226,0.14125,0.027066,1.6909,0.64961,1.0096,0.16312,2
0.020238,1.6887,0.64997,1.0191,0.15639,0.016566,1.6921,0.64941,1.0382,0.18127,0.026015,1.6888,0.64996,1.0156,0.15953,0.083243,1.689,0.64991,0.99526,0.14413,0.029229,1.689,0.64993,1.0675,0.19976,2
0.020094,1.6923,0.64936,0.99437,0.16296,0.037797,1.7185,0.64502,0.88684,0.1056,0.024526,1.6891,0.6499,1.0728,0.16205,0.068901,1.6895,0.64983,1.0095,0.147,0.028123,1.6907,0.64964,1.0075,0.17353,2
0.075199,1.7308,0.62098,0.85468,0.12555,0.013634,1.6917,0.64947,1.0498,0.1866,0.064703,1.7427,0.64116,0.93406,0.11995,0.080401,1.6918,0.64943,1.0178,0.15321,0.045554,1.7339,0.64238,0.83098,0.12238,2
0.025304,1.6893,0.64987,1.0233,0.17021,0.019134,1.6889,0.64994,1.0697,0.16833,0.064627,1.726,0.64373,0.90708,0.11883,0.079415,1.6896,0.6498,1.0487,0.13601,0.031517,1.6903,0.6497,0.97263,0.13923,2
0.025384,1.6981,0.6484,1.0586,0.19406,0.013619,1.6971,0.64856,0.97616,0.15878,0.026622,1.6935,0.64916,0.95718,0.18145,0.07416,1.6919,0.64941,1.005,0.16617,0.024231,1.6898,0.64979,1.1186,0.22073,2
0.021172,1.6933,0.6492,1.0168,0.21473,0.010403,1.6903,0.6497,0.98222,0.15949,0.050777,1.7189,0.6449,0.87378,0.16362,0.076375,1.6897,0.64978,1.0023,0.15572,0.024768,1.6958,0.64878,1.0875,0.20772,2
0.054852,1.7742,0.62893,0.84057,0.13957,0.022869,1.7065,0.64699,1.0236,0.15176,0.025004,1.6989,0.64826,0.95878,0.1891,0.091912,1.6926,0.64931,1.0695,0.17301,0.037111,1.7081,0.63931,1.0475,0.17426,3
0.030941,1.6896,0.64982,1.0219,0.18004,0.018758,1.6903,0.6497,1.0816,0.19833,0.06211,1.708,0.64674,0.87677,0.14763,0.096937,1.6907,0.64963,1.0021,0.15425,0.038825,1.6927,0.6493,0.98776,0.14591,3
0.020072,1.6936,0.64915,1.0522,0.16708,0.014505,1.693,0.64925,1.1085,0.20536,0.024077,1.6957,0.64879,0.99118,0.17745,0.071322,1.6908,0.6496,0.98988,0.14573,0.024891,1.6938,0.64912,1.1002,0.20985,3
0.032304,1.7022,0.64771,1.0589,0.15945,0.014351,1.6902,0.64971,1.1108,0.21426,0.026639,1.6955,0.64883,1.1382,0.22002,0.068948,1.6844,0.64321,1.0855,0.16451,0.031794,1.6919,0.64944,1.1634,0.16999,3
0.032842,1.7081,0.64672,0.99457,0.14959,0.019097,1.7003,0.64803,1.06,0.15754,0.058214,1.7074,0.64683,1.2228,0.14848,0.075916,1.6864,0.64287,1.0325,0.16161,0.050388,1.702,0.64774,1.1957,0.14764,3
0.037249,1.6935,0.64917,1.1225,0.20362,0.030102,1.7279,0.64339,1.1112,0.20988,0.026653,1.6901,0.64974,1.1284,0.18345,0.073388,1.6988,0.64827,1.0308,0.14442,0.046645,1.7145,0.64564,1.011,0.15053,3
0.031932,1.7136,0.64579,1.0237,0.2432,0.011365,1.6914,0.64951,1.0396,0.18444,0.030046,1.6919,0.64944,1.0554,0.16919,0.083709,1.6886,0.64997,1.0788,0.18046,0.036259,1.6982,0.64838,1.1875,0.22845,3
0.01582,1.6931,0.64924,0.94108,0.14902,0.010702,1.6932,0.64922,1.073,0.21831,0.046885,1.7242,0.64401,1.005,0.255,0.08546,1.6952,0.64886,1.061,0.1983,0.030537,1.7054,0.64717,1.2069,0.25265,3
0.01931,1.7054,0.64717,0.92644,0.22117,0.013102,1.6916,0.64948,1.0324,0.17889,0.028457,1.696,0.64875,0.90273,0.17667,0.076659,1.6903,0.64969,0.98993,0.12407,0.02547,1.7134,0.64582,0.98777,0.1855,3
0.021768,1.6914,0.64951,0.98783,0.15386,0.014631,1.6933,0.64921,0.96693,0.13862,0.028933,1.6901,0.64974,1.0455,0.15332,0.081439,1.6898,0.64977,1.0164,0.14709,0.024495,1.6898,0.64979,0.99274,0.17393,3
0.038899,1.6945,0.64899,0.93423,0.16818,0.02467,1.6891,0.6499,0.98045,0.12594,0.046523,1.6941,0.64907,0.98525,0.16491,0.10075,1.6898,0.64977,1.0308,0.13585,0.04399,1.6956,0.64881,1.0854,0.22006,3
